"filename", "language", "Dart", "JSON", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\map_pages\map_detail_page_yandex.dart", "Dart", 1151, 0, 0, 0, 114, 134, 1399
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\order_details_page.dart", "Dart", 320, 0, 0, 0, 18, 24, 362
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\orders_page.dart", "Dart", 715, 0, 0, 0, 33, 50, 798
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\prices_page.dart", "Dart", 1251, 0, 0, 0, 67, 75, 1393
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\reports_page.dart", "Dart", 915, 0, 0, 0, 658, 48, 1621
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\settings\data_sync_tab.dart", "Dart", 758, 0, 0, 0, 49, 66, 873
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\settings_page.dart", "Dart", 1644, 0, 0, 0, 28, 114, 1786
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\shared\new_ui_for_agent.dart", "Dart", 787, 0, 0, 0, 25, 59, 871
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\competitor_audit_page.dart", "Dart", 137, 0, 0, 0, 2, 9, 148
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\create_order_page.dart", "Dart", 2495, 0, 0, 0, 244, 175, 2914
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\photo_facing_after_page.dart", "Dart", 1261, 0, 0, 0, 117, 114, 1492
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\photo_facing_before_page.dart", "Dart", 1256, 0, 0, 0, 117, 114, 1487
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\product_selection_page.dart", "Dart", 1848, 0, 0, 0, 134, 108, 2090
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\step_pages\shelf_audit_page.dart", "Dart", 137, 0, 0, 0, 2, 9, 148
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\features\agent\presentation\pages\trading_points_page.dart", "Dart", 5028, 0, 0, 0, 457, 401, 5886
